_id,名称,产国,大类,类型
4071,89式150毫米野战加农炮,日本,火炮,加农炮
4072,大正十四年式105毫米野战加农炮,日本,火炮,加农炮
4073,60式122毫米加农炮,中国,火炮,加农炮
4074,83式152毫米加农炮,中国,火炮,加农炮
4075,明治四十五年式150毫米加农炮,日本,火炮,加农炮
4076,A-19式122毫米加农炮,苏/俄,火炮,加农炮
4077,96式150毫米重加农炮,日本,火炮,加农炮
4078,92式105毫米野战加农炮,日本,火炮,加农炮
4079,86式152毫米加农炮,中国,火炮,加农炮
4080,240毫米K3重炮,德国,火炮,加农炮
4081,2A36式“风信子”-B加农炮,苏/俄,火炮,加农炮
4082,2S7式“芍药”加农炮,苏/俄,火炮,加农炮
4083,155mm1898年式加农炮,法国,火炮,加农炮
4084,2S5式“风信子”加农炮,苏/俄,火炮,加农炮
4085,F-22式/M1936加农炮,苏/俄,火炮,加农炮
4086,155mm1890年式加农炮,法国,火炮,加农炮
4087,五式100mm重加农炮,日本,火炮,加农炮
4088,150毫米K18加榴炮,德国,火炮,加农榴弹炮
4089,17cm K18加榴炮,德国,火炮,加农榴弹炮
4090,GM-45式155毫米牵引加榴炮,中国,火炮,加农榴弹炮
4091,240毫米K3加榴炮,德国,火炮,加农榴弹炮
4092,PLL01型155毫米牵引式加农榴弹炮,中国,火炮,加农榴弹炮
4093,PI-20式加榴炮,苏/俄,火炮,加农榴弹炮
4094,150mm K39加榴炮,德国,火炮,加农榴弹炮
4095,66式152毫米加榴炮,中国,火炮,加农榴弹炮
4096,W88式155毫米牵引加榴炮,中国,火炮,加农榴弹炮
4097,128毫米K44加榴炮,德国,火炮,加农榴弹炮
4098,210毫米K39/40加榴炮,捷克,火炮,加农榴弹炮
4099,105mm S. K18加榴炮,德国,火炮,加农榴弹炮
4100,“巴黎”炮,德国,火炮,加农榴弹炮
4101,M59式155毫米加农炮,美国,火炮,加农榴弹炮
4102,M65式280毫米加农炮 ,美国,火炮,加农榴弹炮
4103,D-74 122毫米加农炮,苏/俄,火炮,加农榴弹炮
4104,1A式155毫米自行加农炮,瑞典,火炮,加农榴弹炮
4105,W86式120毫米迫击炮,中国,火炮,迫击炮
4106,94式90毫米轻迫击炮,日本,火炮,迫击炮
4107,PP87式82毫米迫击炮,中国,火炮,迫击炮
4108,W85式60毫米迫击炮,中国,火炮,迫击炮
4109,W87式81毫米迫击炮 ,中国,火炮,迫击炮
4110,PP89式60毫米轻迫击炮 ,中国,火炮,迫击炮
4111,1877年式279毫米迫击炮,苏/俄,火炮,迫击炮
4112,96式150毫米中迫击炮,日本,火炮,迫击炮
4113,W84式82毫米中型迫击炮,中国,火炮,迫击炮
4114,97式90毫米轻迫击炮,日本,火炮,迫击炮
4115,90式60毫米迫击炮,中国,火炮,迫击炮
4116,PP89式100毫米迫击炮,中国,火炮,迫击炮
4117,64式120毫米迫击炮,中国,火炮,迫击炮
4118,93式60毫米迫击炮,中国,火炮,迫击炮
4119,55式120毫米迫击炮,中国,火炮,迫击炮
4120,97式150毫米中迫击炮,日本,火炮,迫击炮
4121,二式120毫米中迫击炮,日本,火炮,迫击炮
4122,67式82毫米迫击炮,中国,火炮,迫击炮
4123,63式60毫米迫击炮,中国,火炮,迫击炮
4124,71式100毫米迫击炮,中国,火炮,迫击炮
4125,97式150毫米短迫击炮,日本,火炮,迫击炮
4126,w99式82毫米速射迫击炮,中国,火炮,迫击炮
4127,63-1式60毫米迫击炮,中国,火炮,迫击炮
4128,56式160毫米迫击炮,中国,火炮,迫击炮
4129,80式100毫米迫击炮,中国,火炮,迫击炮
4130,Granatwerfer 42迫击炮,德国,火炮,迫击炮
4131,97式81毫米曲射步兵炮,日本,火炮,迫击炮
4132,L-16式迫击炮 ,英国,火炮,迫击炮
4133,2.8cm Granatwerfer迫击炮,德国,火炮,迫击炮
4134,大正十一年式70毫米曲射步兵炮,日本,火炮,迫击炮
4135,ODE81式迫击炮,新加坡,火炮,迫击炮
4136,ODE120式迫击炮,新加坡,火炮,迫击炮
4137,埃及85mm迫击炮,埃及,火炮,迫击炮
4138,MKE-NT1式迫击炮 ,土耳其,火炮,迫击炮
4139,T86式迫击炮,中国,火炮,迫击炮
4140,“黄鼠狼”II迫击炮,德国,火炮,迫击炮
4141,31式60毫米迫击炮,中国,火炮,迫击炮
4142,20式82毫米迫击炮,中国,火炮,迫击炮
4143,XT-86 120毫米迫击炮,中国,火炮,迫击炮
4144,前苏联2C12“雪橇”迫击炮 ,苏/俄,火炮,迫击炮
4145,T-75 81毫米迫击炮,中国,火炮,迫击炮
4146,63式120毫米迫击炮,中国,火炮,迫击炮
4147,美国M-224式迫击炮,美国,火炮,迫击炮
4148,81毫米轻型迫击炮,法国,火炮,迫击炮
4149,MKE-UT1式迫击炮,土耳其,火炮,迫击炮
4150,62式4.2英寸迫击炮,中国,火炮,迫击炮
4151,XT-81迫击炮,中国,火炮,迫击炮
4152,T-75式60毫米迫击炮,中国,火炮,迫击炮
4153,索尔塔姆M65 120毫米滑膛迫击炮,以色列,火炮,迫击炮
4154,AMS120毫米自行迫击炮,美国,火炮,迫击炮
4155,“龙火”120毫米迫击炮,美国,火炮,迫击炮
4156,M12式120毫米重型迫击炮,奥地利,火炮,迫击炮
4157,L9A1式51毫米迫击炮,英国,火炮,迫击炮
4158,“瓦西里克”82毫米自动迫击炮,苏/俄,火炮,迫击炮
4159,SM-4式120毫米4管迫击炮,奥地利,火炮,迫击炮
4160,索尔塔姆120毫米迫击炮,以色列,火炮,迫击炮
4161,MO-120-RT-61式120毫米迫击炮,法国,火炮,迫击炮
4162,M82/224式82毫米迫击炮,奥地利,火炮,迫击炮
4163,2S4式240毫米自行迫击炮,苏/俄,火炮,迫击炮
4164,L16式81毫米迫击炮,英国,火炮,迫击炮
4165,M30式107毫米迫击炮 ,美国,火炮,迫击炮
4166,M120式120毫米迫击炮 ,美国,火炮,迫击炮
4167,索尔塔姆M66式160毫米迫击炮,以色列,火炮,迫击炮
4168,M224式60毫米迫击炮,美国,火炮,迫击炮
4169,索尔塔姆M65式120毫米迫击炮,以色列,火炮,迫击炮
4170,M19式60毫米迫击炮,美国,火炮,迫击炮
4171,索尔塔姆81毫米迫击炮,以色列,火炮,迫击炮
4172,M29式81毫米迫击炮,美国,火炮,迫击炮
4173,83式273mm履带式自行火箭炮,中国,火炮,火箭炮
4174,88式122毫米单管火箭炮,中国,火炮,火箭炮
4175,四式400mm重火箭,日本,火炮,火箭炮
4176,90A式122亳米轮式自行火箭炮 ,中国,火炮,火箭炮
4177,PHZ89式122毫米火箭炮,中国,火炮,火箭炮
4178,WS-2多管火箭炮,中国,火炮,火箭炮
4179,WS-1B式320毫米轮式自行火箭炮,中国,火炮,火箭炮
4180,BM-30龙卷风式多管火箭炮,苏/俄,火炮,火箭炮
4181,四式203毫米重火箭,日本,火炮,火箭炮
4182,90B122毫米多管火箭炮 ,中国,火炮,火箭炮
4183,WM-80式273毫米火箭炮,中国,火炮,火箭炮
4184,1985式107毫米单管火箭炮,中国,火炮,火箭炮
4185,63式130毫米轮式自行火箭炮,中国,火炮,火箭炮
4186,82式130毫米轮式自行火箭炮,中国,火炮,火箭炮
4187,M270式火箭炮,美国,火炮,火箭炮
4188,“雷霆2000”火箭炮,中国,火炮,火箭炮
4189,70式130毫米履带式自行火箭炮,中国,火炮,火箭炮
4190,63式107mm牵引式火箭炮,中国,火炮,火箭炮
4191,“菲洛斯”6式火箭炮 ,意大利,火炮,火箭炮
4192,81式122毫米轮式自行火箭炮,中国,火炮,火箭炮
4193,81式107毫米轮式自行火箭炮,中国,火炮,火箭炮
4194,75式火箭炮 ,日本,火炮,火箭炮
4195,“短尾雕”II式火箭炮,南非,火炮,火箭炮
4196,BM-21式火箭炮,苏/俄,火炮,火箭炮
4197,PF-98式120毫米反坦克火箭,中国,火炮,火箭炮
4198,81式107毫米轮式自行火箭炮,中国,火炮,火箭炮
4199,85式130毫米自行火箭炮,中国,火炮,火箭炮
4200,63式107毫米牵引式火箭炮,中国,火炮,火箭炮
4201,BMD-20 200毫米火箭炮,苏/俄,火炮,火箭炮
4202,“飓风”220毫米火箭炮,苏/俄,火炮,火箭炮
4203,PF97式93毫米单兵云爆火箭,苏/俄,火炮,火箭炮
4204, LAR-160式160毫米火箭炮,以色列,火炮,火箭炮
4205,“拉尔斯”火箭炮,德国,火炮,火箭炮
4206,83式273毫米履带式自行火箭炮,中国,火炮,火箭炮
4207, “喀秋莎”火箭炮,苏/俄,火炮,火箭炮
4208, “菲洛斯”30式122毫米火箭炮,意大利,火炮,火箭炮
4209,LAU-97式70毫米火箭炮,比利时,火炮,火箭炮
4210,“普利玛”122毫米火箭炮,苏/俄,火炮,火箭炮
4211, “旋风”300毫米火箭炮,苏/俄,火炮,火箭炮
4212,RM70 122毫米火箭炮,捷克,火炮,火箭炮
4213,“特鲁埃尔”3式140毫米火箭炮,西班牙,火炮,火箭炮
4214,“阿斯特罗斯”Ⅱ式火箭炮,巴西,火炮,火箭炮
4215,55式37毫米高炮 ,中国,火炮,高射炮
4216,96式三联装25毫米高射机关炮,日本,火炮,高射炮
4217,59式57毫米高射炮,中国,火炮,高射炮
4218,65式37毫米双管高射炮,中国,火炮,高射炮
4219,五式150mm高射炮,日本,火炮,高射炮
4220,72式85毫米高射炮,中国,火炮,高射炮
4221,74式37毫米双管高射炮,中国,火炮,高射炮
4222,大正十一年式75毫米高射炮,日本,火炮,高射炮
4223,JP113式37毫米双管高射炮,中国,火炮,高射炮
4224,59式57毫米高射炮,中国,火炮,高射炮
4225,74SD式37毫米双管高射炮,中国,火炮,高射炮
4226,85式23毫米双管高射炮 ,中国,火炮,高射炮
4227,ボ式40毫米高射机关炮,日本,火炮,高射炮
4228,二式甲型20毫米高射机关炮,日本,火炮,高射炮
4229,98式20毫米高射机关炮,日本,火炮,高射炮
4230,一式37毫米高射机关炮,日本,火炮,高射炮
4231,88式75毫米高射炮,日本,火炮,高射炮
4232,3英寸1918年型高射炮,美国,火炮,高射炮
4233,四式联装20毫米高射机关炮,日本,火炮,高射炮
4234,二式乙型20毫米高射机关炮,日本,火炮,高射炮
4235,85式23毫米双管高射炮,中国,火炮,高射炮
4236,大正十四年式105毫米高射炮,日本,火炮,高射炮
4237,75mm1897/1914年型高射炮,法国,火炮,高射炮
4238,75毫米1897/1917年型高射炮,法国,火炮,高射炮
4239,AMX-30SA 30毫米双管自行高射炮,法国,火炮,高射炮
4240,ESDTA-25式25毫米双管自行高射炮,法国,火炮,高射炮
4241,M3-VDA 20毫米双管自行高射炮,法国,火炮,高射炮
4242,87式25毫米双联高炮,中国,火炮,高射炮
4243,M53/59式30毫米双管自行高射炮,斯洛伐克,火炮,高射炮
4244,L70式40毫米高射炮,新加坡,火炮,高射炮
4245,捷克S-60型57毫米高炮,捷克,火炮,高射炮
4246,AMX-13DCA式30毫米双管自行高射炮,法国,火炮,高射炮
4247,M1高射炮,美国,火炮,高射炮
4248,“厄利肯”GDF-005高射炮 ,瑞士,火炮,高射炮
4249,T-92 40毫米快炮,中国,火炮,高射炮
4250,90式35毫米牵引式双管高射炮 ,中国,火炮,高射炮
4251,FK20-2式20毫米高射炮,德国,火炮,高射炮
4252,P793式37毫米双管高射炮,中国,火炮,高射炮
4253,M55式20毫米3管高射炮,前南斯拉夫,火炮,高射炮
4254,厄利空GDF-C02式35毫米双管自行高射炮,瑞士,火炮,高射炮
4255,“布雷达”L70式40毫米双管高射炮,意大利,火炮,高射炮
4256,M118式90毫米高射炮,美国,火炮,高射炮
4257,M51式75毫米高射炮,美国,火炮,高射炮
4258,“桑托尔”20毫米双管高射炮,法国,火炮,高射炮
4259,53T2式20毫米高射炮,法国,火炮,高射炮
4260,“吉麦格”25式25毫米高射炮,美国,火炮,高射炮
4261,“火神”M167式20毫米6管高射炮,美国,火炮,高射炮
4262,M42式40毫米双管自行高射炮,美国,火炮,高射炮
4263,厄利空GCF-BM2式35毫米双管自行高射炮,瑞士,火炮,高射炮
4264,DzSU-23-4式23毫米4管自行高射炮,苏/俄,火炮,高射炮
4265,“博福斯”L/70式40毫米高射炮,瑞典,火炮,高射炮
4266,“博菲”40毫米高射炮,瑞典,火炮,高射炮
4267,“博福斯”M/36L/60式40毫米高射炮,瑞典,火炮,高射炮
4268,厄利空GDF-001式35毫米双管高射炮,瑞士,火炮,高射炮
4269,厄利空GBI-AO1式25毫米高射炮,瑞士,火炮,高射炮
4270,DzSU-57-2式57毫米双管自行高射炮,苏/俄,火炮,高射炮
4271,厄利空GBF-AOB式25毫米双管高射炮,瑞士,火炮,高射炮
4272,“特里尼蒂”40毫米自行高射炮,瑞典,火炮,高射炮
4273,厄利空GAI-BO1式20毫米高射炮,瑞士,火炮,高射炮
4274,DzSU-23式23毫米双管高射炮,苏/俄,火炮,高射炮
4275,M1939式85毫米高射炮,苏/俄,火炮,高射炮
4276,KS-30式130毫米高射炮,苏/俄,火炮,高射炮
4277,M1939式37毫米高射炮,苏/俄,火炮,高射炮
4278,S-60式57毫米高射炮,苏/俄,火炮,高射炮
4279,KS-19 M2式100毫米高射炮,苏/俄,火炮,高射炮
4280,“梅罗卡”20毫米高射炮,西班牙,火炮,高射炮
4281,M41式90毫米坦克炮,美国,火炮,坦克炮
4282,索尔塔姆60毫米迫击炮,以色列,火炮,坦克炮
4283,L11式120毫米坦克炮,英国,火炮,坦克炮
4284,D-81TM 125毫米坦克炮,苏/俄,火炮,坦克炮
4285,Rh120120毫米滑膛火炮,德国,火炮,坦克炮
4286,GIAT120毫米坦克炮,法国,火炮,坦克炮
4287,D-10 100毫米坦克炮,苏/俄,火炮,坦克炮
4288,L7式105毫米坦克炮,英国,火炮,坦克炮
4289,1944式85毫米坦克炮,苏/俄,火炮,坦克炮
4290,U-5TS 115毫米坦克炮,苏/俄,火炮,坦克炮
4291,M3反坦克炮,美国,火炮,反坦克炮
4292,PaK 36反坦克炮,德国,火炮,反坦克炮
4293,86式100毫米滑膛反坦克炮,中国,火炮,反坦克炮
4294,M1937 (53-K) 45毫米反坦克炮,苏/俄,火炮,反坦克炮
4295,一式47毫米速射炮,日本,火炮,反坦克炮
4296,M1930 (1-K)37毫米反坦克炮,苏/俄,火炮,反坦克炮
4297,JPZ4-5 90毫米自行反坦克炮 ,德国,火炮,反坦克炮
4298,1986式100毫米反坦克炮,中国,火炮,反坦克炮
4299,试制二式57mm速射炮,日本,火炮,反坦克炮
4300,M1942 (M-42)45毫米反坦克炮,苏/俄,火炮,反坦克炮
4301,中国73式100毫米滑膛反坦克炮,中国,火炮,反坦克炮
4302,M1943 (ZiS-2)57毫米反坦克炮,苏/俄,火炮,反坦克炮
4303,6磅反坦克炮,英国,火炮,反坦克炮
4304,17磅反坦克炮,英国,火炮,反坦克炮
4305,B1“半人马座”105毫米自行反坦克炮,意大利,火炮,反坦克炮
4306,ASU-57式57毫米自行反坦克炮,苏/俄,火炮,反坦克炮
4307,D-44式85毫米反坦克炮,苏/俄,火炮,反坦克炮
4308,2A45M 125毫米反坦克炮,苏/俄,火炮,反坦克炮
4309,“梅卡”90毫米反坦克炮,比利时,火炮,反坦克炮
4310,T-12式100毫米反坦克炮,苏/俄,火炮,反坦克炮
4311,ASU-85式85毫米自行反坦克炮,苏/俄,火炮,反坦克炮
4312,56-2式75毫米无后坐力炮,中国,火炮,无后坐炮
4313,80式95毫米无后坐力炮 ,中国,火炮,无后坐炮
4314,75式105毫米无后坐力炮,中国,火炮,无后坐炮
4315,65式82毫米无后坐力炮,中国,火炮,无后坐炮
4316,L6式120毫米无坐力炮,英国,火炮,无后坐炮
4317,M67式90毫米无坐力炮,美国,火炮,无后坐炮
4318,试制81mm无后坐力炮 ,日本,火炮,无后坐炮
4319,M40式106毫米无坐力炮,美国,火炮,无后坐炮
4320,60式106毫米双管自行无坐力炮,日本,火炮,无后坐炮
4321,78式82毫米无后坐力炮 ,中国,火炮,无后坐炮
4322,SPG-9式73毫米无坐力炮,苏/俄,火炮,无后坐炮
4323,280mm利奥波德（Leopold）列车炮,德国,火炮,装甲车载炮
4324,SH-1型155毫米车载火炮,中国,火炮,装甲车载炮
4325,双37舰炮,中国,火炮,舰炮
4326,M3M/P12.7mm机枪,比利时,火炮,舰炮
4327,奥利康（Oerlikon）35/1000转膛炮,瑞士,火炮,舰炮
4328,76A式37毫米双管舰炮,中国,火炮,舰炮
4329,20mmG1-2/GA-1通用机炮,南非,火炮,舰炮
4330,61式双联装37mm舰炮,中国,火炮,舰炮
4331,AK-130型舰炮 ,苏/俄,火炮,舰炮
4332,MAG58M7.62mm机枪,比利时,火炮,舰炮
4333,AK-630M型30mm6管舰炮,苏/俄,火炮,舰炮
4334,MK38型25毫米舰炮,美国,火炮,舰炮
4335,DS30B型30毫米舰炮,英国,火炮,舰炮
4336,61式25毫米双管舰炮,中国,火炮,舰炮
4337,AK-1 76毫米舰炮,苏/俄,火炮,舰炮
4338,T-75 20毫米机炮,中国,火炮,舰炮
4339,MK8 114毫米舰炮,英国,火炮,舰炮
4340,MK-7 406毫米3管舰炮,美国,火炮,舰炮
4341,M134迷你炮(Minigun),美国,火炮,舰炮
4342,“博福斯”57毫米舰炮,瑞典,火炮,舰炮
4343,“布雷达”紧凑型30毫米双管舰炮,意大利,火炮,舰炮
4344,“奥托”紧凑型76毫米舰炮,意大利,火炮,舰炮
4345,“奥托”紧凑型127毫米舰炮,意大利,火炮,舰炮
4346,“埃默莱克”30式30毫米双管舰炮,美国,火炮,舰炮
4347,Mk42 127毫米舰炮,美国,火炮,舰炮
4348,GAU-8A航炮,美国,火炮,航空炮
4349,M197航空机炮,美国,火炮,航空炮
4350,UTMG通用双机枪吊舱,英国,火炮,航空炮
4351,25mm阿顿（ADEN）航空机炮,英国,火炮,航空炮
4352,GAU-19/A(GECAL50)12.7mm航空机枪,美国,火炮,航空炮
4353,ADEN机炮吊舱,瑞典,火炮,航空炮
4354,SUU-23/A 火神 机炮吊舱,美国,火炮,航空炮
4355,CEM-1系列通用武器吊舱,法国,火炮,航空炮
4356,特龙德(Tround)12.7mm机枪,美国,火炮,航空炮
4357,SUU-16/A 火神 机炮吊舱,美国,火炮,航空炮
4358,奥利康（Oerlikon）KCA型航空机炮,瑞士,火炮,航空炮
4359,阿格特(AGT)航空机炮,美国,火炮,航空炮
4360,ГШ-6-23航空机炮,苏/俄,火炮,航空炮
4361,奥利康（Oerlikon）KAA/KAD/KBA型航空机炮,瑞士,火炮,航空炮
4362,СППУ(SPPU)-6 机炮吊舱,苏/俄,火炮,航空炮
4363,EX-34链式(Chain)航空机枪,美国,火炮,航空炮
4364,MK4/MK5机炮吊舱,英国,火炮,航空炮
4365,MK20Rh202航空机炮,德国,火炮,航空炮
4366,23mm 623型 航空机炮,中国,火炮,航空炮
4367,30mm德发（DEFA）航空机炮,法国,火炮,航空炮
4368,ГШ-6-30航空机炮,苏/俄,火炮,航空炮
4369,SUU-11B/A米尼冈 机枪吊舱,美国,火炮,航空炮
4370,HMP/MRL70组合式吊舱,比利时,火炮,航空炮
4371,23mm 23-1/2型 航空机炮,中国,火炮,航空炮
4372,ГШ-23航空机炮,苏/俄,火炮,航空炮
4373,AV-8B 海鹞 GAU-12/U 机炮吊舱,美国,火炮,航空炮
4374,GE225航空机炮,美国,火炮,航空炮
4375,M230链式(Chain)航空机炮,美国,火炮,航空炮
4376,AM-23航空机炮,苏/俄,火炮,航空炮
4377,平衡者(Equalizer)GAU－12/U航空机炮,美国,火炮,航空炮
4378,УПК(UPK)-23-250 机炮吊舱,苏/俄,火炮,航空炮
4379,BRD组合式吊舱,意大利,火炮,航空炮
4380,XM214航空机枪,美国,火炮,航空炮
4381,23mm 23-3型 航空机炮,中国,火炮,航空炮
4382,毛塞（Mauser）BK27航空机炮,德国,火炮,航空炮
4383,XM188E1航空机炮,美国,火炮,航空炮
4384,GAU-13/A航空机炮,美国,火炮,航空炮
4385,基亚特（GIAT）30-781/30-791 航空机炮,法国,火炮,航空炮
4386,Aermacchi-30mm机炮吊舱,意大利,火炮,航空炮
4387,MK.4Mod0 机炮吊舱,美国,火炮,航空炮
4388,新型“阿登”30毫米航炮,英国,火炮,航空炮
4389,以色列德发553式30mm航空炮 ,以色列,火炮,航空炮
4390,30毫米M230A1链式航空炮,美国,火炮,航空炮
4391,M-39E航空机炮,美国,火炮,航空炮
4392,CC420/630机炮吊舱,法国,火炮,航空炮
4393,HMP机枪吊舱,比利时,火炮,航空炮
4394,M621机炮吊舱,法国,火炮,航空炮
4395,基亚特（GIAT）M621航空机炮,英国,火炮,航空炮
4396,HC-23航空机炮,苏/俄,火炮,航空炮
4397,HP-30航空机炮,苏/俄,火炮,航空炮
4398,M230链式航空机炮 ,美国,火炮,航空炮
4399,Aermacchi马基12.7mm机枪吊舱,意大利,火炮,航空炮
4400,H-37航空机炮,苏/俄,火炮,航空炮
4401,复仇者(Avenger)GAU-8/A航空机炮,美国,火炮,航空炮
4402,米尼岗(Minigun)GAU－2A/M134航空机枪,美国,火炮,航空炮
4403,300mm阿顿（ADEN）航空机炮,英国,火炮,航空炮
4404,MK11Mod5航空机炮,美国,火炮,航空炮
4405,СППУ(SPPU)-22 机炮吊舱,苏/俄,火炮,航空炮
4406,9A-4273机炮吊舱,苏/俄,火炮,航空炮
4407,火神(Vulcan)M61航空机炮,美国,火炮,航空炮
4408,GPU-5/A 火神 机炮吊舱,美国,火炮,航空炮
4409,“德发”552式30毫米航空机关炮,法国,火炮,航空炮
4410,HP-23航空机炮,苏/俄,火炮,航空炮
4411,“毛瑟”BK27式27毫米航空机关炮,德国,火炮,航空炮
4412,PLL05式120毫米自行迫榴炮,中国,火炮,自行火炮
4413,59-1式130毫米自行加农炮,中国,火炮,自行火炮
4414,中国59式100毫米高射炮,中国,火炮,自行火炮
4415,PLZ89式122毫米自行榴弹炮,中国,火炮,自行火炮
4416,105毫米6X6轮式装甲突击炮,中国,火炮,自行火炮
4417,83式152毫米自行加榴炮,中国,火炮,自行火炮
4418,“飞虎”30毫米自行高炮 ,韩国,火炮,自行火炮
4419,PLZ45式155毫米自行加榴炮,中国,火炮,自行火炮
4420,W90式203毫米自行榴弹炮,中国,火炮,自行火炮
4421,2S3式加榴炮,苏/俄,火炮,自行火炮
4422,PGZ-88式双管37毫米自行高炮,中国,火炮,自行火炮
4423,PTZ89式120毫米自行反坦克炮,中国,火炮,自行火炮
4424,74式榴弹炮,日本,火炮,自行火炮
4425,GCT式榴弹炮 ,法国,火炮,自行火炮
4426,BHIM式榴弹炮,印度,火炮,自行火炮
4427,“阿伯特”榴弹炮,英国,火炮,自行火炮
4428,75式榴弹炮,日本,火炮,自行火炮
4429,法国AMX13式高射炮,法国,火炮,自行火炮
4430,PLZ式05自行榴弹炮,中国,火炮,自行火炮
4431,“帕尔玛利亚”榴弹炮,意大利,火炮,自行火炮
4432,96式迫击炮,日本,火炮,自行火炮
4433,83式自行火炮,中国,火炮,自行火炮
4434,80式57毫米自行高炮,中国,火炮,自行火炮
4435,105毫米8×8轮式自行突击炮,中国,火炮,自行火炮
4436,“约克中士”高射炮,美国,火炮,自行火炮
4437,意大利“奥托”高射炮,意大利,火炮,自行火炮
4438,“野猫”高射炮,德国,火炮,自行火炮
4439,95式25毫米自行高炮,中国,火炮,自行火炮
4440,英国“神枪手”高射炮,英国,火炮,自行火炮
4441,M52式榴弹炮,美国,火炮,自行火炮
4442,ZSU-23-4式23毫米高炮,苏/俄,火炮,自行火炮
4443,2S19式加农炮,苏/俄,火炮,自行火炮
4444,120毫米8×8轮式自行反坦克炮 ,中国,火炮,自行火炮
4445,“猎豹”高射炮,德国,火炮,自行火炮
4446,G6式加榴炮,南非,火炮,自行火炮
4447,M44式榴弹炮,美国,火炮,自行火炮
4448,M109L47式榴弹炮,南非,火炮,自行火炮
4449,克罗地亚“勇士”-30高炮,克罗地亚,火炮,自行火炮
4450,M109A6 Paladin“游侠”自行火炮,美国,火炮,自行火炮
4451,AS-90自行榴弹炮,英国,火炮,自行火炮
4452,2S5式152毫米自行加榴炮,苏/俄,火炮,自行火炮
4453,美国“火神”高射炮 ,美国,火炮,自行火炮
4454,MOBAT式榴弹炮,荷兰,火炮,自行火炮
4455,M109自行榴弹炮,美国,火炮,自行火炮
4456,研2S1式“石竹”榴弹炮,苏/俄,火炮,自行火炮
4457, PzH2000自行榴弹炮,德国,火炮,自行火炮
4458,休斯34型 机炮吊舱,美国,火炮,自行火炮
4459,SP-70式榴弹炮,德国,火炮,自行火炮
4460,“阿伯特”榴弹炮,英国,火炮,自行火炮
4461,“大宇”高射炮,韩国,火炮,自行火炮
4462,M110A1式榴弹炮,美国,火炮,自行火炮
4463,87式高射炮,日本,火炮,自行火炮
4464,卡尔600毫米自行迫击炮,德国,火炮,自行火炮
4465,“厄利肯护卫者”高射炮,瑞士,火炮,自行火炮
4466,前苏联2C9“九度音”-C迫击炮,苏/俄,火炮,自行火炮
4467,芬兰AMOS自行迫击炮,芬兰,火炮,自行火炮
4468,TDA 2R2M式120毫米自行迫击炮,法国,火炮,自行火炮
4469,“奥托”高射炮,意大利,火炮,自行火炮
4470,AS90式榴弹炮,英国,火炮,自行火炮
4471,M109A3式榴弹炮,美国,火炮,自行火炮
4472,122毫米“雷声”1型自行榴弹炮,伊朗,火炮,自行火炮
4473,AMX-10RC式反坦克炮 ,法国,火炮,自行火炮
4474,83式自行火炮 ,中国,火炮,自行火炮
4475,85型122毫米自行火炮 ,中国,火炮,自行火炮
4476,155毫米“雷声”2型自行榴弹炮,伊朗,火炮,自行火炮
4477,87式100毫米6X6轮式自行反坦克炮,中国,火炮,自行火炮
4478,“章鱼”反坦克炮,苏/俄,火炮,自行火炮
4479,M107型175毫米自行火炮,美国,火炮,自行火炮
4480,“石勒喀”23毫米自行高炮,苏/俄,火炮,自行火炮
4481,240毫米自行迫击炮M1975,苏/俄,火炮,自行火炮
4482,PGZ-95自行高射炮,中国,火炮,自行火炮
4483,89型122毫米自行榴弹炮 ,中国,火炮,自行火炮
4484,L-33型155毫米自行火炮,以色列,火炮,自行火炮
4485,155毫米AS90自行火炮,英国,火炮,自行火炮
4486,203毫米自行火炮M1975,苏/俄,火炮,自行火炮
4487,75式155毫米自行火炮,日本,火炮,自行火炮
4488,凯撒155毫米自行火炮 ,法国,火炮,自行火炮
4489,K9“雷电”自行火炮,韩国,火炮,自行火炮
4490,M109A2型155毫米自行火炮,美国,火炮,自行火炮
4491,“克莱博”155毫米自行火炮,英国,火炮,自行火炮
4492,“帕尔玛利亚”155毫米自行榴弹炮,意大利,火炮,自行火炮
4493,2S1式自行火炮 ,苏/俄,火炮,自行火炮
4494,83式152毫米自行加榴炮,中国,火炮,自行火炮
4495,70-1式自行榴弹炮,中国,火炮,自行火炮
4496,122 毫米自行榴弹炮 ,中国,火炮,自行火炮
4497,M100型203毫米自行火炮,美国,火炮,自行火炮
4498,小松60式106毫米自行无后坐力炮,日本,火炮,自行火炮
4499,PLL-05自行迫击榴弹炮,中国,火炮,自行火炮
4500,MkF3自行火炮,法国,火炮,自行火炮
4501,AS90式155毫米自行火炮,英国,火炮,自行火炮
4502,SH-2型122毫米车载榴弹炮,中国,火炮,自行火炮
4503,70式122毫米自行榴弹炮 ,中国,火炮,自行火炮
4504,Raad-2型155毫米自行火炮,伊朗,火炮,自行火炮
4505,GPU-2/A 火神 机炮吊舱,美国,火炮,自行火炮
4506,87式双35自行高炮 ,日本,火炮,自行火炮
4507,“普赖默斯”155毫米自行火炮 ,新加坡,火炮,自行火炮
4508,Raad-1型122毫米自行火炮/榴弹炮 ,伊朗,火炮,自行火炮
4509,2S31“静脉”120毫米自行迫榴炮,苏/俄,火炮,自行火炮
4510,PLZ-07式自行榴弹炮,中国,火炮,自行火炮
4511,SO-120自行榴弹炮,苏/俄,火炮,自行火炮
